geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Las Vegas,driving,NA,Nevada,United States,2020-05-19,94.88
city,Las Vegas,driving,NA,Nevada,United States,2020-05-20,96.99
city,Las Vegas,driving,NA,Nevada,United States,2020-05-21,101.37
city,Las Vegas,driving,NA,Nevada,United States,2020-05-22,111.37
city,Las Vegas,driving,NA,Nevada,United States,2020-05-23,103.67
city,Las Vegas,driving,NA,Nevada,United States,2020-05-24,85.83
city,Las Vegas,driving,NA,Nevada,United States,2020-05-25,85.43
city,Las Vegas,driving,NA,Nevada,United States,2020-05-26,97.82
city,Las Vegas,driving,NA,Nevada,United States,2020-05-27,100.97
city,Las Vegas,driving,NA,Nevada,United States,2020-05-28,102.96
city,Las Vegas,driving,NA,Nevada,United States,2020-05-29,113.4
city,Las Vegas,driving,NA,Nevada,United States,2020-05-30,105.52
city,Las Vegas,driving,NA,Nevada,United States,2020-05-31,83.97
city,Las Vegas,driving,NA,Nevada,United States,2020-06-01,100.12
city,Las Vegas,driving,NA,Nevada,United States,2020-06-02,100.13
city,Las Vegas,driving,NA,Nevada,United States,2020-06-03,104.39
city,Las Vegas,driving,NA,Nevada,United States,2020-06-04,108.67
city,Las Vegas,driving,NA,Nevada,United States,2020-06-05,123.28
city,Las Vegas,driving,NA,Nevada,United States,2020-06-06,120.93
city,Las Vegas,driving,NA,Nevada,United States,2020-06-07,98.59
city,Las Vegas,driving,NA,Nevada,United States,2020-06-08,111.67
city,Las Vegas,driving,NA,Nevada,United States,2020-06-09,116.66
city,Las Vegas,driving,NA,Nevada,United States,2020-06-10,115.31
city,Las Vegas,driving,NA,Nevada,United States,2020-06-11,119.02
city,Las Vegas,driving,NA,Nevada,United States,2020-06-12,133.94
city,Las Vegas,driving,NA,Nevada,United States,2020-06-13,131.25
city,Las Vegas,driving,NA,Nevada,United States,2020-06-14,108.44
city,Las Vegas,driving,NA,Nevada,United States,2020-06-15,118.09
city,Las Vegas,driving,NA,Nevada,United States,2020-06-16,119.56
city,Las Vegas,driving,NA,Nevada,United States,2020-06-17,120.81
city,Las Vegas,driving,NA,Nevada,United States,2020-06-18,124.81
city,Las Vegas,driving,NA,Nevada,United States,2020-06-19,141.73
city,Las Vegas,driving,NA,Nevada,United States,2020-06-20,137.65
city,Las Vegas,driving,NA,Nevada,United States,2020-06-21,105.34
city,Las Vegas,driving,NA,Nevada,United States,2020-06-22,122.27
city,Las Vegas,driving,NA,Nevada,United States,2020-06-23,125.63
city,Las Vegas,driving,NA,Nevada,United States,2020-06-24,125.2
city,Las Vegas,driving,NA,Nevada,United States,2020-06-25,128.11
city,Las Vegas,driving,NA,Nevada,United States,2020-06-26,142.58
city,Las Vegas,driving,NA,Nevada,United States,2020-06-27,140
city,Las Vegas,driving,NA,Nevada,United States,2020-06-28,114.34
city,Las Vegas,driving,NA,Nevada,United States,2020-06-29,125.17
city,Las Vegas,driving,NA,Nevada,United States,2020-06-30,127.9
city,Las Vegas,driving,NA,Nevada,United States,2020-07-01,129.66
city,Las Vegas,driving,NA,Nevada,United States,2020-07-02,136.78
city,Las Vegas,driving,NA,Nevada,United States,2020-07-03,149.78
city,Las Vegas,driving,NA,Nevada,United States,2020-07-04,134.4
city,Las Vegas,driving,NA,Nevada,United States,2020-07-05,124.44
city,Las Vegas,driving,NA,Nevada,United States,2020-07-06,129.98
city,Las Vegas,driving,NA,Nevada,United States,2020-07-07,126.52
city,Las Vegas,driving,NA,Nevada,United States,2020-07-08,126.81
city,Las Vegas,driving,NA,Nevada,United States,2020-07-09,129.44
city,Las Vegas,driving,NA,Nevada,United States,2020-07-10,144.86
city,Las Vegas,driving,NA,Nevada,United States,2020-07-11,138.99
city,Las Vegas,driving,NA,Nevada,United States,2020-07-12,114.23
city,Las Vegas,driving,NA,Nevada,United States,2020-07-13,124.21
city,Las Vegas,driving,NA,Nevada,United States,2020-07-14,125.46
city,Las Vegas,driving,NA,Nevada,United States,2020-07-15,126.34
city,Las Vegas,driving,NA,Nevada,United States,2020-07-16,129.16
city,Las Vegas,driving,NA,Nevada,United States,2020-07-17,144.27
city,Las Vegas,driving,NA,Nevada,United States,2020-07-18,140.13
city,Las Vegas,driving,NA,Nevada,United States,2020-07-19,114.67
city,Las Vegas,driving,NA,Nevada,United States,2020-07-20,125.1
city,Las Vegas,driving,NA,Nevada,United States,2020-07-21,125.64
city,Las Vegas,driving,NA,Nevada,United States,2020-07-22,125.69
city,Las Vegas,driving,NA,Nevada,United States,2020-07-23,129.9
city,Las Vegas,driving,NA,Nevada,United States,2020-07-24,147.99
city,Las Vegas,driving,NA,Nevada,United States,2020-07-25,145.09
city,Las Vegas,driving,NA,Nevada,United States,2020-07-26,119.33
city,Las Vegas,driving,NA,Nevada,United States,2020-07-27,127.8
city,Las Vegas,driving,NA,Nevada,United States,2020-07-28,127.94
city,Las Vegas,driving,NA,Nevada,United States,2020-07-29,128.11
city,Las Vegas,driving,NA,Nevada,United States,2020-07-30,132.13
city,Las Vegas,driving,NA,Nevada,United States,2020-07-31,149.37
city,Las Vegas,driving,NA,Nevada,United States,2020-08-01,143.89
city,Las Vegas,driving,NA,Nevada,United States,2020-08-02,118.76
city,Las Vegas,driving,NA,Nevada,United States,2020-08-03,130.49
city,Las Vegas,driving,NA,Nevada,United States,2020-08-04,129.92
city,Las Vegas,driving,NA,Nevada,United States,2020-08-05,128.39
city,Las Vegas,driving,NA,Nevada,United States,2020-08-06,133.69
city,Las Vegas,driving,NA,Nevada,United States,2020-08-07,151.87
city,Las Vegas,driving,NA,Nevada,United States,2020-08-08,147.57
city,Las Vegas,driving,NA,Nevada,United States,2020-08-09,122.25
city,Las Vegas,driving,NA,Nevada,United States,2020-08-10,131.33
