geo_type,region,transportation_type,alternative_name,sub.region,country,date,relative_mobility
city,Madison,driving,NA,Wisconsin,United States,2020-05-06,83.46
city,Madison,driving,NA,Wisconsin,United States,2020-05-07,87.05
city,Madison,driving,NA,Wisconsin,United States,2020-05-08,97.84
city,Madison,driving,NA,Wisconsin,United States,2020-05-09,91.56
city,Madison,driving,NA,Wisconsin,United States,2020-05-10,63.84
city,Madison,driving,NA,Wisconsin,United States,2020-05-11,NA
city,Madison,driving,NA,Wisconsin,United States,2020-05-12,NA
city,Madison,driving,NA,Wisconsin,United States,2020-05-13,90.97
city,Madison,driving,NA,Wisconsin,United States,2020-05-14,89.68
city,Madison,driving,NA,Wisconsin,United States,2020-05-15,114.64
city,Madison,driving,NA,Wisconsin,United States,2020-05-16,102.98
city,Madison,driving,NA,Wisconsin,United States,2020-05-17,72.87
city,Madison,driving,NA,Wisconsin,United States,2020-05-18,90.55
city,Madison,driving,NA,Wisconsin,United States,2020-05-19,97.78
city,Madison,driving,NA,Wisconsin,United States,2020-05-20,108.6
city,Madison,driving,NA,Wisconsin,United States,2020-05-21,109.06
city,Madison,driving,NA,Wisconsin,United States,2020-05-22,124.32
city,Madison,driving,NA,Wisconsin,United States,2020-05-23,96.83
city,Madison,driving,NA,Wisconsin,United States,2020-05-24,93.46
city,Madison,driving,NA,Wisconsin,United States,2020-05-25,88.87
city,Madison,driving,NA,Wisconsin,United States,2020-05-26,111.06
city,Madison,driving,NA,Wisconsin,United States,2020-05-27,113.7
city,Madison,driving,NA,Wisconsin,United States,2020-05-28,107.9
city,Madison,driving,NA,Wisconsin,United States,2020-05-29,137.12
city,Madison,driving,NA,Wisconsin,United States,2020-05-30,126.94
city,Madison,driving,NA,Wisconsin,United States,2020-05-31,100.29
city,Madison,driving,NA,Wisconsin,United States,2020-06-01,119.02
city,Madison,driving,NA,Wisconsin,United States,2020-06-02,127.58
city,Madison,driving,NA,Wisconsin,United States,2020-06-03,120.86
city,Madison,driving,NA,Wisconsin,United States,2020-06-04,137.05
city,Madison,driving,NA,Wisconsin,United States,2020-06-05,143.91
city,Madison,driving,NA,Wisconsin,United States,2020-06-06,130.04
city,Madison,driving,NA,Wisconsin,United States,2020-06-07,111.78
city,Madison,driving,NA,Wisconsin,United States,2020-06-08,129.03
city,Madison,driving,NA,Wisconsin,United States,2020-06-09,120.02
city,Madison,driving,NA,Wisconsin,United States,2020-06-10,123.11
city,Madison,driving,NA,Wisconsin,United States,2020-06-11,138.99
city,Madison,driving,NA,Wisconsin,United States,2020-06-12,163.58
city,Madison,driving,NA,Wisconsin,United States,2020-06-13,142.36
city,Madison,driving,NA,Wisconsin,United States,2020-06-14,118.87
city,Madison,driving,NA,Wisconsin,United States,2020-06-15,133.52
city,Madison,driving,NA,Wisconsin,United States,2020-06-16,138.94
city,Madison,driving,NA,Wisconsin,United States,2020-06-17,141.41
city,Madison,driving,NA,Wisconsin,United States,2020-06-18,145.53
city,Madison,driving,NA,Wisconsin,United States,2020-06-19,162.65
city,Madison,driving,NA,Wisconsin,United States,2020-06-20,133.52
city,Madison,driving,NA,Wisconsin,United States,2020-06-21,113.11
city,Madison,driving,NA,Wisconsin,United States,2020-06-22,124.87
city,Madison,driving,NA,Wisconsin,United States,2020-06-23,145.28
city,Madison,driving,NA,Wisconsin,United States,2020-06-24,142.61
city,Madison,driving,NA,Wisconsin,United States,2020-06-25,154.31
city,Madison,driving,NA,Wisconsin,United States,2020-06-26,154.78
city,Madison,driving,NA,Wisconsin,United States,2020-06-27,154.61
city,Madison,driving,NA,Wisconsin,United States,2020-06-28,125.33
city,Madison,driving,NA,Wisconsin,United States,2020-06-29,127.45
city,Madison,driving,NA,Wisconsin,United States,2020-06-30,149.65
city,Madison,driving,NA,Wisconsin,United States,2020-07-01,152.05
city,Madison,driving,NA,Wisconsin,United States,2020-07-02,156.89
city,Madison,driving,NA,Wisconsin,United States,2020-07-03,153.72
city,Madison,driving,NA,Wisconsin,United States,2020-07-04,110.35
city,Madison,driving,NA,Wisconsin,United States,2020-07-05,121.51
city,Madison,driving,NA,Wisconsin,United States,2020-07-06,141.94
city,Madison,driving,NA,Wisconsin,United States,2020-07-07,138.34
city,Madison,driving,NA,Wisconsin,United States,2020-07-08,142.09
city,Madison,driving,NA,Wisconsin,United States,2020-07-09,139.48
city,Madison,driving,NA,Wisconsin,United States,2020-07-10,165.63
city,Madison,driving,NA,Wisconsin,United States,2020-07-11,144.31
city,Madison,driving,NA,Wisconsin,United States,2020-07-12,127.73
city,Madison,driving,NA,Wisconsin,United States,2020-07-13,140.05
city,Madison,driving,NA,Wisconsin,United States,2020-07-14,140.91
city,Madison,driving,NA,Wisconsin,United States,2020-07-15,134.58
city,Madison,driving,NA,Wisconsin,United States,2020-07-16,153.38
city,Madison,driving,NA,Wisconsin,United States,2020-07-17,172.52
city,Madison,driving,NA,Wisconsin,United States,2020-07-18,143.48
city,Madison,driving,NA,Wisconsin,United States,2020-07-19,128.53
city,Madison,driving,NA,Wisconsin,United States,2020-07-20,137.5
city,Madison,driving,NA,Wisconsin,United States,2020-07-21,138.16
