geo_type,region,transportation_type,alternative_name,sub.region,country,date,relative_mobility
city,Phoenix,driving,NA,Arizona,United States,2020-05-19,92.46
city,Phoenix,driving,NA,Arizona,United States,2020-05-20,94.24
city,Phoenix,driving,NA,Arizona,United States,2020-05-21,98
city,Phoenix,driving,NA,Arizona,United States,2020-05-22,111.41
city,Phoenix,driving,NA,Arizona,United States,2020-05-23,99.43
city,Phoenix,driving,NA,Arizona,United States,2020-05-24,79.71
city,Phoenix,driving,NA,Arizona,United States,2020-05-25,78.66
city,Phoenix,driving,NA,Arizona,United States,2020-05-26,95.37
city,Phoenix,driving,NA,Arizona,United States,2020-05-27,97.49
city,Phoenix,driving,NA,Arizona,United States,2020-05-28,99.3
city,Phoenix,driving,NA,Arizona,United States,2020-05-29,110.96
city,Phoenix,driving,NA,Arizona,United States,2020-05-30,103.63
city,Phoenix,driving,NA,Arizona,United States,2020-05-31,74.32
city,Phoenix,driving,NA,Arizona,United States,2020-06-01,90.53
city,Phoenix,driving,NA,Arizona,United States,2020-06-02,92.35
city,Phoenix,driving,NA,Arizona,United States,2020-06-03,96.03
city,Phoenix,driving,NA,Arizona,United States,2020-06-04,98.61
city,Phoenix,driving,NA,Arizona,United States,2020-06-05,110.23
city,Phoenix,driving,NA,Arizona,United States,2020-06-06,104.05
city,Phoenix,driving,NA,Arizona,United States,2020-06-07,81.19
city,Phoenix,driving,NA,Arizona,United States,2020-06-08,98.97
city,Phoenix,driving,NA,Arizona,United States,2020-06-09,100.35
city,Phoenix,driving,NA,Arizona,United States,2020-06-10,101.12
city,Phoenix,driving,NA,Arizona,United States,2020-06-11,104.32
city,Phoenix,driving,NA,Arizona,United States,2020-06-12,115.58
city,Phoenix,driving,NA,Arizona,United States,2020-06-13,111.2
city,Phoenix,driving,NA,Arizona,United States,2020-06-14,84.11
city,Phoenix,driving,NA,Arizona,United States,2020-06-15,99.23
city,Phoenix,driving,NA,Arizona,United States,2020-06-16,101.26
city,Phoenix,driving,NA,Arizona,United States,2020-06-17,101.78
city,Phoenix,driving,NA,Arizona,United States,2020-06-18,103.95
city,Phoenix,driving,NA,Arizona,United States,2020-06-19,115.43
city,Phoenix,driving,NA,Arizona,United States,2020-06-20,105.64
city,Phoenix,driving,NA,Arizona,United States,2020-06-21,75.57
city,Phoenix,driving,NA,Arizona,United States,2020-06-22,98.26
city,Phoenix,driving,NA,Arizona,United States,2020-06-23,101.7
city,Phoenix,driving,NA,Arizona,United States,2020-06-24,100.72
city,Phoenix,driving,NA,Arizona,United States,2020-06-25,102.39
city,Phoenix,driving,NA,Arizona,United States,2020-06-26,113.55
city,Phoenix,driving,NA,Arizona,United States,2020-06-27,104.28
city,Phoenix,driving,NA,Arizona,United States,2020-06-28,79.44
city,Phoenix,driving,NA,Arizona,United States,2020-06-29,95.83
city,Phoenix,driving,NA,Arizona,United States,2020-06-30,97.73
city,Phoenix,driving,NA,Arizona,United States,2020-07-01,99.24
city,Phoenix,driving,NA,Arizona,United States,2020-07-02,103.88
city,Phoenix,driving,NA,Arizona,United States,2020-07-03,99.19
city,Phoenix,driving,NA,Arizona,United States,2020-07-04,74.45
city,Phoenix,driving,NA,Arizona,United States,2020-07-05,69.45
